Producto,Precio Final,Precio Anterior,Cantidad Medida,Descuento
 Ensalada De Col  Eva 420 G , $34.90,,1 PZ,0
 Lechuga Baby Gourmet 4 Pack Mr Lucky... , $54.90,,1 PZ,0
 Flakes De Brócoli Coliflor Y Zanahor... , $39.90,,1 PZ,0
 Ensalada Festival Alsuper 380 G , $34.90,,380 GR,0
 Guayaba Alsuper Por Kg , $37.90, $53.90 ,KG,30
 Pepino Sin Semilla Alsuper Por Kg , $32.90,,KG,0
 Guacamole Sin Chile Alsuper 250 G , $29.90,,250 GR,0
 Nopal Asado Alsuper Por Kg , $79.90, $99.90 ,KG,20
 Guacamole Sin Chile Alsuper 500 G , $56.90,,500 GR,0
 Rábano Negro Alsuper Por Pieza , $39.90,,1 PZ,0
 Dátil Medjool Alsuper De 350 G , $79.90,,1 PZ,0
 Clementinas En Malla Halos De 907 G , $79.90,,1 PZ,0
 Tomate Cherry Amarillo Comets  Natur... , $49.90,,1 PZ,0
 Palitos De Apio Orgánico Mr Lucky   ... , $46.90,,1 PZ,0
 Papa Morena Alsuper Por Bolsa , $19.90, $56.90 ,KG,65
 Elote Amarillo Dulce Con 5 .    5 Pi... , $69.90,,5 PZ,0
 Elote Blanco En Bolsa Con 6 Piezas A... , $69.90, $89.90 ,6 PZ,22
 Repollo Alsuper Por Kg , $19.90, $29.90 ,KG,33
 Pimiento Shishito  Alsuper 300 Gramo... , $79.90,,300 GR,0
 Tomatillo Orgánico Alsuper    1 Piez... , $46.90,,1 PZ,0
 Pimiento Morrón Verde Alsuper Por Kg , $64.90, $94.90 ,KG,32
 Corazones De Lechuga Orejona Mr Luck... , $49.90,,1 PZ,0
 Albahaca Alsuper  40 G , $12.90,,40 GR,0
 Pimiento Morrón Rojo Alsuper Por Kg , $79.90, $99.90 ,KG,20
 Ensalada Verde  Nutribits 255 G , $39.90,,255 GR,0
 Ensalada Cherry Nutribits 235 G , $39.90,,235 GR,0
 Ensalada De La Casa Nutribits 290 G , $39.90,,290 GR,0
 Lechuga Escarola  Alsuper Por Pieza , $23.90,,1 PZ,0
 Defense Juice  Alsuper 473 Ml , $69.90,,473 ML,0
 Pimiento Morrón Amarillo Alsuper Por... , $79.90, $99.90 ,KG,20
 Détox Juice Alsuper 473 Ml , $69.90,,473 ML,0
 Blue Berry Alsuper Con 510 G , $179.90, $249.90 ,1 PZ,28
 Zarzamora 510 Grs Alsuper    1 Pieza , $179.90, $249.90 ,1 PZ,28
 Frambuesa  Alsuper De 510 G , $179.90, $249.90 ,1 PZ,28
 Floretes De Brócoli Alsuper 340 G , $24.90,,340 GR,0
 Pimiento Morrón Tostado Alsuper Por ... , $89.90, $129.90 ,KG,31
 Mangostan Alsuper 600 Gramos , $129.90,,600 GR,0
 Tomatillo Alsuper Por Kg , $26.90, $49.90 ,KG,46
 Papa Gallo  En Malla Alsuper 600 G , $34.90,,600 GR,0
 Rambutan En Malla Alsuper 600 Gramos , $59.90,,600 GR,0
 Ejote Francés Alsuper 454 G , $89.90,,454 GR,0
 Calabaza Zucchini Alsuper 454 G , $89.90,,454 GR,0
 Flor De Jamaica Don Zabor Don Zabor ... , $69.90, $96.90 ,200 GR,28
 Tamarindo Don Zabor Don Zabor 500 G , $59.90, $79.90 ,500 GR,25
 Calabaza Pattypan Alsuper 454 G , $89.90,,454 GR,0
 Ensalada Ranch Alsuper 200 G , $34.90,,200 GR,0
 Germinado De Soya Alsuper 500 G , $42.90,,500 GR,0
 Coco Diamante Alsuper    1 Pieza , $59.90,,1 PZ,0
 Apio Alsuper Por Kg , $24.90, $49.90 ,KG,50
 Tomatillo Milpero Asluper Por Kg , $19.90, $22.90 ,KG,13
 Espinaca Baby En Domo Alsuper  Alsup... , $52.90,,200 GR,0
 Betabel Alsuper Por Kg , $34.90,,KG,0
 Purepecha En Malla     1 Pieza , $99.90, $149.90 ,1 PZ,33
 Tomate Uva Naranja Alsuper 300 G , $32.90,,300 GR,0
 Arilo De Granada Snack   100 Gramos , $29.90,,100 GR,0
 Sopa De Verduras Alsuper    1 Pieza , $29.90,,1 PZ,0
 Sopa Juliana Alsuper    1 Pieza , $24.90,,1 PZ,0
 Albahaca Gourmet Temporada Verde  50... , $32.90,,1 PZ,0
 Mezcla Primavera Orgánico Earthbound... , $99.90,,142 GR,0
 Arugula Baby Orgánica Earthbound 142... , $99.90,,142 GR,0
 Espinaca Baby Orgánica Earthbound 14... , $99.90,,142 GR,0
 Kale Baby Orgánico  Earthbound 142 G , $99.90,,142 GR,0
 Ensalada Súper Green Orgánico Nutrib... , $89.90,,142 GR,0
 Hoja De Plátano Alsuper    1 Pieza , $39.90,,1 PZ,0
 Espinaca Tierna Nutribits 250 G , $39.90,,250 GR,0
 Alcachofa En Bolsa Para Microondas N... , $89.90,,2 PZ,0
 Ensalada Cesar Nutribits 235 G , $39.90,,235 GR,0
 Naranja Valencia Alsuper Por Kg , $28.90, $45.90 ,KG,37
 Coliflor Alsuper Por Pieza , $39.90, $64.90 ,1 PZ,39
 Corazones De Lechuga Orejona Tripack... , $39.90,,1 PZ,0
 Microgreen De Rabano 57 Grs Victoria... , $44.90,,1 PZ,0
 Microgreen De Arugula 57 Grs Victori... , $44.90,,1 PZ,0
 Microgreen De Repollo Morado 57 Grs ... , $44.90,,1 PZ,0
 Microgreen De Chicharo 85 Grs Victor... , $44.90,,1 PZ,0
 Cebolla Cipolline Alsuper 1 Kilogram , $219.90,,KG,0
